model_name,algorithm,target,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,f1_at_0.5,best_threshold,precision_at_best_threshold,recall_at_best_threshold,f1_at_best_threshold,flag_rate_at_best_threshold,recall_stealth_at_best_threshold,review_threshold,deny_threshold,pct_allow,pct_review,pct_deny,seed
behavioral,logistic_regression,is_bot,0.9156,0.8191,0.7335,0.7876,0.7596,0.35,0.5306,0.8437,0.6515,0.2695,0.9079,0.2,0.5,0.53,0.288,0.182,456
transactional,logistic_regression,is_fraud,0.5528,0.3243,0.2611,0.9712,0.4115,0.7,0.6,0.0058,0.0114,0.0025,0.0,0.5,0.7,0.031,0.9665,0.0025,456
combined,logistic_regression,is_fraud,0.5575,0.3254,0.2706,0.8772,0.4136,0.7,0.6,0.0058,0.0114,0.0025,0.0,0.45,0.7,0.001,0.9965,0.0025,456
behavioral,random_forest,is_bot,0.9152,0.8494,0.8091,0.7876,0.7982,0.25,0.6166,0.8348,0.7093,0.2295,0.8816,0.1,0.35,0.281,0.524,0.195,456
transactional,random_forest,is_fraud,0.7176,0.4264,0.3993,0.6238,0.4869,0.8,0.4828,0.0269,0.0509,0.0145,0.0,0.3,0.8,0.2395,0.746,0.0145,456
combined,random_forest,is_fraud,0.785,0.5948,0.4946,0.62,0.5503,0.6,0.6216,0.3973,0.4848,0.1665,0.3191,0.25,0.75,0.222,0.6925,0.0855,456
behavioral,gradient_boosting,is_bot,0.9112,0.8434,0.9058,0.7375,0.813,0.1,0.613,0.8319,0.7059,0.23,0.8684,0.05,0.2,0.65,0.175,0.175,456
transactional,gradient_boosting,is_fraud,0.7213,0.4239,0.5192,0.1036,0.1728,0.65,0.3684,0.0134,0.0259,0.0095,0.0,0.1,0.65,0.1765,0.814,0.0095,456
combined,gradient_boosting,is_fraud,0.7832,0.5942,0.6983,0.3244,0.443,0.35,0.5346,0.5048,0.5192,0.246,0.5745,0.1,0.65,0.206,0.713,0.081,456
behavioral,dummy,is_bot,0.5,0.168,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,1.0,0.0,789
transactional,dummy,is_fraud,0.5,0.255,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,789
combined,dummy,is_fraud,0.5,0.255,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,789
behavioral,logistic_regression,is_bot,0.9326,0.8796,0.7582,0.8214,0.7886,0.35,0.5759,0.881,0.6965,0.257,0.9286,0.1,0.55,0.312,0.52,0.168,789
transactional,logistic_regression,is_fraud,0.5662,0.3119,0.2563,0.9706,0.4056,0.7,0.3333,0.0059,0.0116,0.0045,0.0,0.5,0.7,0.0345,0.961,0.0045,789
combined,logistic_regression,is_fraud,0.5712,0.313,0.2716,0.8451,0.4111,0.7,0.3333,0.0059,0.0116,0.0045,0.0,0.45,0.7,0.0005,0.995,0.0045,789
behavioral,random_forest,is_bot,0.9397,0.8966,0.9091,0.8036,0.8531,0.2,0.6436,0.8869,0.7459,0.2315,0.949,0.05,0.3,0.3095,0.509,0.1815,789
transactional,random_forest,is_fraud,0.7029,0.42,0.379,0.651,0.4791,0.7,0.5,0.1137,0.1853,0.058,0.0833,0.3,0.7,0.2305,0.7115,0.058,789
combined,random_forest,is_fraud,0.7782,0.5833,0.4992,0.5863,0.5392,0.5,0.4992,0.5863,0.5392,0.2995,0.8,0.25,0.65,0.2175,0.667,0.1155,789
behavioral,gradient_boosting,is_bot,0.9369,0.8944,0.9612,0.7381,0.835,0.1,0.6782,0.872,0.763,0.216,0.9184,0.05,0.15,0.6775,0.1355,0.187,789
transactional,gradient_boosting,is_fraud,0.7116,0.4255,0.5278,0.0745,0.1306,0.45,0.5414,0.1667,0.2549,0.0785,0.1333,0.1,0.45,0.2065,0.715,0.0785,789
combined,gradient_boosting,is_fraud,0.7834,0.5987,0.7193,0.3216,0.4444,0.3,0.5122,0.5784,0.5433,0.288,0.7833,0.1,0.5,0.2105,0.6755,0.114,789
behavioral,dummy,is_bot,0.5,0.1705,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,1.0,0.0,2024
transactional,dummy,is_fraud,0.5,0.2645,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,2024
combined,dummy,is_fraud,0.5,0.2645,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,2024
behavioral,logistic_regression,is_bot,0.9206,0.8401,0.6929,0.827,0.754,0.35,0.5076,0.8856,0.6453,0.2975,0.9895,0.05,0.5,0.079,0.7175,0.2035,2024
transactional,logistic_regression,is_fraud,0.5717,0.327,0.2645,1.0,0.4183,0.7,0.4615,0.0113,0.0221,0.0065,0.0,0.5,0.95,0.0,0.998,0.002,2024
combined,logistic_regression,is_fraud,0.5717,0.327,0.2643,0.9981,0.4179,0.7,0.4615,0.0113,0.0221,0.0065,0.0,0.5,0.95,0.001,0.997,0.002,2024
behavioral,random_forest,is_bot,0.9291,0.8449,0.7926,0.8182,0.8052,0.2,0.5409,0.8915,0.6733,0.281,0.9895,0.05,0.35,0.031,0.7625,0.2065,2024
transactional,random_forest,is_fraud,0.6995,0.3978,0.4007,0.6181,0.4862,0.5,0.4007,0.6181,0.4862,0.408,0.5854,0.2,0.5,0.1875,0.4045,0.408,2024
combined,random_forest,is_fraud,0.7809,0.5963,0.4872,0.5747,0.5273,0.55,0.5769,0.4537,0.5079,0.208,0.5366,0.25,0.7,0.2135,0.6785,0.108,2024
behavioral,gradient_boosting,is_bot,0.931,0.8492,0.8836,0.7566,0.8152,0.1,0.6436,0.8739,0.7413,0.2315,0.9474,0.05,0.15,0.675,0.1215,0.2035,2024
transactional,gradient_boosting,is_fraud,0.7033,0.3955,0.3958,0.1078,0.1694,0.55,0.4024,0.0624,0.108,0.041,0.0488,0.1,0.6,0.1945,0.783,0.0225,2024
combined,gradient_boosting,is_fraud,0.7766,0.5818,0.694,0.3686,0.4815,0.35,0.5489,0.4669,0.5046,0.225,0.6098,0.1,0.7,0.199,0.7225,0.0785,2024
